Date,Accidents
2016-02,985
2016-03,6329
2016-04,18088
2016-05,17610
2016-06,30527
2016-07,45759
2016-08,56425
2016-09,54664
2016-10,55628
2016-11,65010
2016-12,59568
2017-01,55680
2017-02,51640
2017-03,57283
2017-04,48087
2017-05,41106
2017-06,46221
2017-07,43226
2017-08,80878
2017-09,76820
2017-10,74905
2017-11,70074
2017-12,71569
2018-01,74999
2018-02,71464
2018-03,74423
2018-04,72592
2018-05,76475
2018-06,67777
2018-07,65749
2018-08,76381
2018-09,73277
2018-10,87195
2018-11,82078
2018-12,70205
2019-01,79276
2019-02,74559
2019-03,69401
2019-04,73001
2019-05,73864
2019-06,65501
2019-07,68234
2019-08,75246
2019-09,87659
2019-10,106817
2019-11,81894
2019-12,98281
2020-01,91969
2020-02,85749
2020-03,85953
2020-04,87730
2020-05,87490
2020-06,100296
