Date,Accidents
2016-04-02,2
2016-05-04,1
2016-06-14,5
2016-06-17,4
2016-06-21,209
2016-06-22,319
2016-06-23,344
2016-06-24,219
2016-06-25,41
2016-06-26,72
2016-06-27,303
2016-06-28,285
2016-06-29,276
2016-06-30,272
2016-07-01,186
2016-07-02,55
2016-07-03,60
2016-07-04,192
2016-07-05,293
2016-07-06,228
2016-07-07,246
2016-07-08,258
2016-07-09,74
2016-07-10,71
2016-07-11,230
2016-07-12,202
2016-07-13,265
2016-07-14,253
2016-07-15,195
2016-07-16,83
2016-07-17,3
2016-07-18,172
2016-07-19,229
2016-07-20,272
2016-07-21,265
2016-07-22,303
2016-07-23,80
2016-07-24,80
2016-07-25,296
2016-07-26,340
2016-07-27,287
2016-07-28,301
2016-07-29,249
2016-07-30,97
2016-07-31,100
2016-08-01,319
2016-08-02,307
2016-08-03,154
2016-08-04,224
2016-08-05,316
2016-08-06,51
2016-08-07,40
2016-08-08,264
2016-08-09,282
2016-08-10,291
2016-08-11,255
2016-08-12,335
2016-08-13,80
2016-08-14,85
2016-08-15,317
2016-08-16,254
2016-08-17,297
2016-08-18,279
2016-08-19,266
2016-08-20,68
2016-08-21,59
2016-08-22,324
2016-08-23,287
2016-08-24,342
2016-08-25,275
2016-08-26,341
2016-08-27,116
2016-08-28,105
2016-08-29,348
2016-08-30,291
2016-08-31,317
2016-09-01,345
2016-09-02,355
2016-09-03,63
2016-09-04,86
2016-09-05,185
2016-09-06,374
2016-09-07,367
2016-09-08,362
2016-09-09,414
2016-09-10,112
2016-09-11,69
2016-09-12,313
2016-09-13,290
2016-09-14,325
2016-09-15,330
2016-09-16,359
2016-09-17,92
2016-09-18,71
2016-09-19,230
2016-09-20,278
2016-09-21,247
2016-09-22,193
2016-09-23,388
2016-09-24,75
2016-09-25,67
2016-09-26,298
2016-09-27,270
2016-09-28,321
2016-09-29,294
2016-09-30,349
2016-10-01,105
2016-10-02,79
2016-10-03,354
2016-10-04,470
2016-10-05,341
2016-10-06,251
2016-10-07,409
2016-10-08,58
2016-10-09,2
2016-10-10,188
2016-10-11,406
2016-10-12,311
2016-10-13,297
2016-10-14,375
2016-10-15,104
2016-10-16,98
2016-10-17,337
