Date,Accidents
2016-04,2
2016-05,1
2016-06,2349
2016-07,5965
2016-08,7289
2016-09,7522
2016-10,7858
2016-11,9504
2016-12,8240
2017-01,8522
2017-02,6999
2017-03,8727
2017-04,7228
2017-05,5564
2017-06,6233
2017-07,5665
2017-08,9071
2017-09,8175
2017-10,8207
2017-11,7631
2017-12,7603
2018-01,7827
2018-02,8175
2018-03,7869
2018-04,7871
2018-05,8093
2018-06,7262
2018-07,6418
2018-08,7862
2018-09,6873
2018-10,8523
2018-11,8192
2018-12,7329
2019-01,7541
2019-02,6916
2019-03,6356
2019-04,7563
2019-05,7672
2019-06,6627
2019-07,6555
2019-08,7371
2019-09,6719
2019-10,8661
2019-11,6905
2019-12,6149
2020-01,6089
2020-02,5937
2020-03,5619
2020-04,5297
2020-05,5501
2020-06,5870
