Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.8706,0.9484,0.9078,1984
GBC,All,Accident,0.7107,0.4733,0.5682,531
GBC,All,MacroAvg,0.7907,0.7109,0.738,2515
GBC,All,WeightedAvg,0.8368,0.8481,0.8361,2515
GBC,traffic,No-Accident,0.8191,0.9751,0.8903,1984
GBC,traffic,Accident,0.6779,0.1952,0.3031,531
GBC,traffic,MacroAvg,0.7485,0.5852,0.5967,2515
GBC,traffic,WeightedAvg,0.7893,0.8105,0.7663,2515
GBC,time,No-Accident,0.7889,1.0,0.882,1984
GBC,time,Accident,0.0,0.0,0.0,531
GBC,time,MacroAvg,0.3944,0.5,0.441,2515
GBC,time,WeightedAvg,0.6223,0.7889,0.6958,2515
GBC,weather,No-Accident,0.7937,0.9829,0.8782,1984
GBC,weather,Accident,0.4007,0.0452,0.0792,531
GBC,weather,MacroAvg,0.5972,0.514,0.4787,2515
GBC,weather,WeightedAvg,0.7107,0.7849,0.7095,2515
GBC,geohash,No-Accident,0.8434,0.9531,0.8949,1984
GBC,geohash,Accident,0.6593,0.339,0.4478,531
GBC,geohash,MacroAvg,0.7514,0.6461,0.6713,2515
GBC,geohash,WeightedAvg,0.8046,0.8235,0.8005,2515
GBC,NLP,No-Accident,0.8477,0.9466,0.8943,1984
GBC,NLP,Accident,0.6479,0.3641,0.4646,531
GBC,NLP,MacroAvg,0.7478,0.6553,0.6795,2515
GBC,NLP,WeightedAvg,0.8055,0.8236,0.8036,2515
