Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.9122,0.9468,0.9292,3863
GBC,All,Accident,0.6859,0.5605,0.6169,801
GBC,All,MacroAvg,0.799,0.7537,0.773,4664
GBC,All,WeightedAvg,0.8733,0.8804,0.8755,4664
GBC,traffic,No-Accident,0.8595,0.9741,0.9132,3863
GBC,traffic,Accident,0.6503,0.2318,0.3416,801
GBC,traffic,MacroAvg,0.7549,0.603,0.6274,4664
GBC,traffic,WeightedAvg,0.8235,0.8466,0.815,4664
GBC,time,No-Accident,0.8283,1.0,0.9061,3863
GBC,time,Accident,0.0,0.0,0.0,801
GBC,time,MacroAvg,0.4141,0.5,0.453,4664
GBC,time,WeightedAvg,0.686,0.8283,0.7505,4664
GBC,weather,No-Accident,0.8335,0.988,0.9042,3863
GBC,weather,Accident,0.4706,0.0479,0.0865,801
GBC,weather,MacroAvg,0.652,0.5179,0.4954,4664
GBC,weather,WeightedAvg,0.7711,0.8265,0.7637,4664
GBC,geohash,No-Accident,0.866,0.9702,0.9152,3863
GBC,geohash,Accident,0.6577,0.2759,0.3887,801
GBC,geohash,MacroAvg,0.7619,0.6231,0.6519,4664
GBC,geohash,WeightedAvg,0.8302,0.851,0.8247,4664
GBC,NLP,No-Accident,0.8683,0.9678,0.9154,3863
GBC,NLP,Accident,0.6535,0.2921,0.4031,801
GBC,NLP,MacroAvg,0.7609,0.63,0.6592,4664
GBC,NLP,WeightedAvg,0.8314,0.8518,0.8274,4664
