Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.881,0.9364,0.9079,3446
GBC,All,Accident,0.6968,0.5357,0.6057,939
GBC,All,MacroAvg,0.7889,0.7361,0.7568,4385
GBC,All,WeightedAvg,0.8415,0.8506,0.8431,4385
GBC,traffic,No-Accident,0.8318,0.9592,0.891,3446
GBC,traffic,Accident,0.6582,0.2882,0.4009,939
GBC,traffic,MacroAvg,0.745,0.6237,0.6459,4385
GBC,traffic,WeightedAvg,0.7946,0.8155,0.786,4385
GBC,time,No-Accident,0.8051,0.9637,0.8773,3446
GBC,time,Accident,0.5196,0.1438,0.2249,939
GBC,time,MacroAvg,0.6624,0.5537,0.5511,4385
GBC,time,WeightedAvg,0.744,0.7881,0.7376,4385
GBC,weather,No-Accident,0.7903,0.9725,0.872,3446
GBC,weather,Accident,0.3438,0.0529,0.0916,939
GBC,weather,MacroAvg,0.5671,0.5127,0.4818,4385
GBC,weather,WeightedAvg,0.6947,0.7756,0.7049,4385
GBC,geohash,No-Accident,0.8361,0.9388,0.8845,3446
GBC,geohash,Accident,0.5914,0.3248,0.4191,939
GBC,geohash,MacroAvg,0.7138,0.6318,0.6518,4385
GBC,geohash,WeightedAvg,0.7837,0.8073,0.7848,4385
GBC,NLP,No-Accident,0.8312,0.9471,0.8853,3446
GBC,NLP,Accident,0.6026,0.2939,0.3948,939
GBC,NLP,MacroAvg,0.7169,0.6205,0.6401,4385
GBC,NLP,WeightedAvg,0.7822,0.8072,0.7803,4385
