Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.906,0.9821,0.9425,4723
GBC,All,Accident,0.6257,0.2267,0.3326,622
GBC,All,MacroAvg,0.7659,0.6044,0.6376,5345
GBC,All,WeightedAvg,0.8734,0.8942,0.8716,5345
GBC,traffic,No-Accident,0.8912,0.9936,0.9397,4723
GBC,traffic,Accident,0.6216,0.0793,0.1407,622
GBC,traffic,MacroAvg,0.7564,0.5365,0.5402,5345
GBC,traffic,WeightedAvg,0.8599,0.8872,0.8467,5345
GBC,time,No-Accident,0.8836,1.0,0.9382,4723
GBC,time,Accident,0.0,0.0,0.0,622
GBC,time,MacroAvg,0.4418,0.5,0.4691,5345
GBC,time,WeightedAvg,0.7808,0.8836,0.829,5345
GBC,weather,No-Accident,0.8836,0.9965,0.9366,4723
GBC,weather,Accident,0.1159,0.0032,0.0062,622
GBC,weather,MacroAvg,0.4998,0.4998,0.4714,5345
GBC,weather,WeightedAvg,0.7943,0.8809,0.8284,5345
GBC,geohash,No-Accident,0.8922,0.9882,0.9377,4723
GBC,geohash,Accident,0.5125,0.0932,0.1558,622
GBC,geohash,MacroAvg,0.7024,0.5407,0.5468,5345
GBC,geohash,WeightedAvg,0.848,0.8841,0.8468,5345
GBC,NLP,No-Accident,0.8922,0.9882,0.9377,4723
GBC,NLP,Accident,0.5125,0.0932,0.1558,622
GBC,NLP,MacroAvg,0.7024,0.5407,0.5468,5345
GBC,NLP,WeightedAvg,0.848,0.8841,0.8468,5345
