Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.9138,0.9739,0.9429,7326
GBC,All,Accident,0.6966,0.3945,0.5037,1111
GBC,All,MacroAvg,0.8052,0.6842,0.7233,8437
GBC,All,WeightedAvg,0.8852,0.8976,0.8851,8437
GBC,traffic,No-Accident,0.8882,0.9832,0.9333,7326
GBC,traffic,Accident,0.6243,0.1839,0.2841,1111
GBC,traffic,MacroAvg,0.7563,0.5836,0.6087,8437
GBC,traffic,WeightedAvg,0.8535,0.878,0.8478,8437
GBC,time,No-Accident,0.8683,1.0,0.9295,7326
GBC,time,Accident,0.0,0.0,0.0,1111
GBC,time,MacroAvg,0.4342,0.5,0.4648,8437
GBC,time,WeightedAvg,0.754,0.8683,0.8071,8437
GBC,weather,No-Accident,0.8775,0.9875,0.9293,7326
GBC,weather,Accident,0.5301,0.0909,0.1548,1111
GBC,weather,MacroAvg,0.7038,0.5392,0.542,8437
GBC,weather,WeightedAvg,0.8318,0.8695,0.8273,8437
GBC,geohash,No-Accident,0.8837,0.9813,0.9299,7326
GBC,geohash,Accident,0.5461,0.1485,0.2332,1111
GBC,geohash,MacroAvg,0.7149,0.5649,0.5816,8437
GBC,geohash,WeightedAvg,0.8393,0.8716,0.8382,8437
GBC,NLP,No-Accident,0.8847,0.9799,0.9299,7326
GBC,NLP,Accident,0.5435,0.1575,0.2442,1111
GBC,NLP,MacroAvg,0.7141,0.5687,0.5871,8437
GBC,NLP,WeightedAvg,0.8397,0.8716,0.8396,8437
